Data_Hora,idTweet,Tweet,Candidato,Tweet_limpo
2022-07-30 23:21:38+00:00,1553521227515453441,"@DeputadoFederal @LulaOficial Eu amo o meu País.
❤️ Bolsonaro ❤️
Ganha no primeiro turno 💕 https://t.co/9bypwi7ZMW",Bolsonaro,  eu amo o meu país.❤️ bolsonaro ❤️ganha no primeiro turno 💕 .co/9bypwi7zmw
2022-07-30 23:21:37+00:00,1553521224478859265,"@JorgeNettobr @UOLNoticias Pode ser de ontem. Valdemar da Costa Neto é presidente do PL, partido de Bolsonaro, e aliado dele. Os 2 fazem parte do Centrão. Dois bandidos.",Bolsonaro,"  pode ser de ontem. valdemar da costa neto é presidente do pl, partido de bolsonaro, e aliado dele. os 2 fazem parte do centrão. dois bandidos."
2022-07-30 23:21:37+00:00,1553521222033481729,"Por isso eu afirmo vai ser no primeiro turno!
Onde o @jairbolsonaro vai arrasta multidões,em todas as cidades do Brasil. https://t.co/vVEXHqNTj6",Bolsonaro,"por isso eu afirmo vai ser no primeiro turno!onde o  vai arrasta multidões,em todas as cidades do brasil. .co/vvexhqntj6"
2022-07-30 23:21:35+00:00,1553521215289102336,Será perfeito meu presidente @jairbolsonaro mostra pra esses safado o nosso poder https://t.co/NrVXNLIkez,Bolsonaro,será perfeito meu presidente  mostra pra esses safado o nosso poder .co/nrvxnlikez
2022-07-30 23:21:33+00:00,1553521207563223040,"@BolsoMito380 Se gritar ""pega ladrão"" não fica um meu irmão... &gt;&gt;&gt; Eduardo Cunha e Daniel Silveira sobem em palanque ao lado de Bolsonaro em SP https://t.co/w7REHhFSFd via 
@UOLNoticias
 
@UOL",Bolsonaro," se gritar ""pega ladrão"" não fica um meu irmão... &gt;&gt;&gt; eduardo cunha e daniel silveira sobem em palanque ao lado de bolsonaro em sp .co/w7rehhfsfd via  "
2022-07-30 23:21:32+00:00,1553521205088509956,"@dramayraoficial @jairbolsonaro Primeiro:Paulo não disse que honrou país nenhum, pq a missão de Paulo era espiritual.O bom combate de Paulo diz respeito a pregação do evangelho e a reconciliação  do homem com Deus.Não use a palavra de Deus levianamente.",Bolsonaro,"  primeiro:paulo não disse que honrou país nenhum, pq a missão de paulo era espiritual.o bom combate de paulo diz respeito a pregação do evangelho e a reconciliação  do homem com deus.não use a palavra de deus levianamente."
2022-07-30 23:21:31+00:00,1553521198063144960,@silveira50 @MarcioM61326104 @adinaelsilva @Alexandre30k @ManesAlexandre @Nuu0204 @Valdirene4971 @EdneiaScanto @Melkpsobrinho @BergMartins14 @CameloJubeni @alvesmimar3 @vanice_a @nefertiti2022 @BetoBrasilRJ @RE_BOLSONARO 🇧🇷,Bolsonaro,                🇧🇷
2022-07-30 23:21:31+00:00,1553521197996023809,"@craigthomler @SoIrredeemabl @Times__Earth Again, every article you produce seems to blame Bolsonaro. Scare tactics aimed at the voters in Brazil.

""The newly elected President of Brazil (and not a ecologist as far as I know) denied his own science agency's data about deforestation and the head of the agency was fired.""",Bolsonaro,"   again, every article you produce seems to blame bolsonaro. scare tactics aimed at the voters in brazil.""the newly elected president of brazil (and not a ecologist as far as i know) denied his own science agency's data about deforestation and the head of the agency was fired."""
2022-07-30 23:21:30+00:00,1553521196142051329,"@AliceSo57171703 @jairbolsonaro Não tenho dúvida!!!
Falta pouco.
Outubro chegando",Bolsonaro,  não tenho dúvida!!!falta pouco.outubro chegando
2022-07-30 23:21:29+00:00,1553521189208858624,"@AmorimConfucio @juanedeide @jairbolsonaro Aê, presidente. Olha o preço do Doritos, vai lá na fabrica e nas lojas e obrigue-os a congelar o preço. Blz?",Bolsonaro,"   aê, presidente. olha o preço do doritos, vai lá na fabrica e nas lojas e obrigue-os a congelar o preço. blz?"
